Date,Hour,Ontario
2018-06-25,1,12201
2018-06-25,2,11956
2018-06-25,3,11740
2018-06-25,4,11633
2018-06-25,5,12089
2018-06-25,6,13804
2018-06-25,7,14456
2018-06-25,8,14844
2018-06-25,9,15006
2018-06-25,10,14975
2018-06-25,11,15100
2018-06-25,12,15250
2018-06-25,13,15400
2018-06-25,14,15658
2018-06-25,15,15779
2018-06-25,16,16336
2018-06-25,17,16835
2018-06-25,18,17122
2018-06-25,19,17105
2018-06-25,20,16988
2018-06-25,21,16595
2018-06-25,22,15420
2018-06-25,23,14152
2018-06-25,24,13119
2018-06-26,1,12597
2018-06-26,2,12176
2018-06-26,3,11957
2018-06-26,4,11962
2018-06-26,5,12670
2018-06-26,6,13771
2018-06-26,7,14381
2018-06-26,8,14784
2018-06-26,9,14874
2018-06-26,10,15030
2018-06-26,11,15077
2018-06-26,12,15204
2018-06-26,13,15395
2018-06-26,14,15553
2018-06-26,15,15767
2018-06-26,16,16159
2018-06-26,17,16582
2018-06-26,18,16816
2018-06-26,19,16886
2018-06-26,20,16805
2018-06-26,21,16659
2018-06-26,22,15750
2018-06-26,23,14545
2018-06-26,24,13563
2018-06-27,1,12877
2018-06-27,2,12451
2018-06-27,3,12247
2018-06-27,4,12273
2018-06-27,5,12663
2018-06-27,6,13486
2018-06-27,7,14796
2018-06-27,8,15570
2018-06-27,9,15981
2018-06-27,10,16378
2018-06-27,11,16704
2018-06-27,12,16973
2018-06-27,13,17246
2018-06-27,14,17481
2018-06-27,15,17766
2018-06-27,16,18119
2018-06-27,17,18354
2018-06-27,18,18225
2018-06-27,19,18184
2018-06-27,20,18156
2018-06-27,21,17990
2018-06-27,22,16978
2018-06-27,23,15475
2018-06-27,24,14313
2018-06-28,1,13502
2018-06-28,2,12989
2018-06-28,3,12717
2018-06-28,4,12704
2018-06-28,5,13080
2018-06-28,6,14057
2018-06-28,7,15360
2018-06-28,8,16172
2018-06-28,9,16799
2018-06-28,10,17249
2018-06-28,11,17659
2018-06-28,12,17984
2018-06-28,13,18342
2018-06-28,14,18708
2018-06-28,15,19012
2018-06-28,16,19358
2018-06-28,17,19638
2018-06-28,18,19468
2018-06-28,19,19408
2018-06-28,20,19212
2018-06-28,21,18995
2018-06-28,22,17939
2018-06-28,23,16441
2018-06-28,24,15197
2018-06-29,1,14298
2018-06-29,2,13673
2018-06-29,3,13361
2018-06-29,4,13325
2018-06-29,5,13723
2018-06-29,6,14662
2018-06-29,7,16007
2018-06-29,8,16875
2018-06-29,9,17621
2018-06-29,10,18310
2018-06-29,11,18871
2018-06-29,12,19226
2018-06-29,13,19609
2018-06-29,14,19956
2018-06-29,15,20179
2018-06-29,16,20574
2018-06-29,17,20894
2018-06-29,18,20863
2018-06-29,19,20663
2018-06-29,20,20237
2018-06-29,21,19970
2018-06-29,22,19023
2018-06-29,23,17633
2018-06-29,24,16326
2018-06-30,1,14243
2018-06-30,2,13499
2018-06-30,3,13047
2018-06-30,4,12843
2018-06-30,5,12846
2018-06-30,6,13225
2018-06-30,7,14020
