"Station Name","TORONTO CITY"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158355"
"WMO Identifier","71508"
"TC Identifier","XTO"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-05-01 00:00","2018","05","01","00:00","11.9","","-4.1","","33","","","M","","M","","","100.35","","","","","","NA"
"2018-05-01 01:00","2018","05","01","01:00","11.2","","-3.8","","35","","","M","","M","","","100.30","","","","","","NA"
"2018-05-01 02:00","2018","05","01","02:00","10.1","","-2.2","","42","","","M","","M","","","100.30","","","","","","NA"
"2018-05-01 03:00","2018","05","01","03:00","10.0","","-2.3","","42","","","M","","M","","","100.29","","","","","","NA"
"2018-05-01 04:00","2018","05","01","04:00","9.0","","-2.0","","46","","","M","","M","","","100.27","","","","","","NA"
"2018-05-01 05:00","2018","05","01","05:00","8.8","","-1.7","","48","","","M","","M","","","100.26","","","","","","NA"
"2018-05-01 06:00","2018","05","01","06:00","10.2","","-1.0","","45","","","M","","M","","","100.30","","","","","","NA"
"2018-05-01 07:00","2018","05","01","07:00","11.7","","-1.4","","40","","","M","","M","","","100.34","","","","","","NA"
"2018-05-01 08:00","2018","05","01","08:00","11.4","","-1.5","","41","","","M","","M","","","100.31","","","","","","NA"
"2018-05-01 09:00","2018","05","01","09:00","13.6","","-1.7","","35","","","M","","M","","","100.32","","","","","","NA"
"2018-05-01 10:00","2018","05","01","10:00","14.9","","-0.5","","35","","","M","","M","","","100.31","","","","","","NA"
"2018-05-01 11:00","2018","05","01","11:00","17.2","","0.4","","32","","","M","","M","","","100.27","","","","","","NA"
