"Station Name","TORONTO CITY"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158355"
"WMO Identifier","71508"
"TC Identifier","XTO"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-08-01 00:00","2016","08","01","00:00","20.3","","15.7","","75","","","M","","M","","","100.39","","25","","","","NA"
"2016-08-01 01:00","2016","08","01","01:00","20.7","","14.3","","67","","","M","","M","","","100.38","","","","","","NA"
"2016-08-01 02:00","2016","08","01","02:00","21.1","","14.2","","65","","","M","","M","","","100.38","","25","","","","NA"
"2016-08-01 03:00","2016","08","01","03:00","20.7","","15.5","","72","","","M","","M","","","100.37","","25","","","","NA"
"2016-08-01 04:00","2016","08","01","04:00","20.5","","14.8","","70","","","M","","M","","","100.37","","","","","","NA"
"2016-08-01 05:00","2016","08","01","05:00","20.7","","15.0","","70","","","M","","M","","","100.41","","25","","","","NA"
"2016-08-01 06:00","2016","08","01","06:00","20.9","","16.7","","77","","","M","","M","","","100.46","","26","","","","NA"
"2016-08-01 07:00","2016","08","01","07:00","21.8","","17.1","","75","","","M","","M","","","100.48","","27","","","","NA"
"2016-08-01 08:00","2016","08","01","08:00","23.0","","18.1","","74","","","M","","M","","","100.49","","29","","","","NA"
"2016-08-01 09:00","2016","08","01","09:00","23.8","","18.6","","73","","","M","","M","","","100.54","","30","","","","NA"
"2016-08-01 10:00","2016","08","01","10:00","25.1","","18.8","","68","","","M","","M","","","100.54","","32","","","","NA"
"2016-08-01 11:00","2016","08","01","11:00","25.9","","18.4","","63","","","M","","M","","","100.51","","32","","","","NA"
"2016-08-01 12:00","2016","08","01","12:00","26.0","","17.9","","61","","","M","","M","","","100.49","","32","","","","NA"
"2016-08-01 13:00","2016","08","01","13:00","25.7","","17.3","","60","","","M","","M","","","100.53","","31","","","","NA"
"2016-08-01 14:00","2016","08","01","14:00","26.4","","17.2","","57","","","M","","M","","","100.51","","32","","","","NA"
"2016-08-01 15:00","2016","08","01","15:00","26.6","","16.2","","53","","","M","","M","","","100.47","","31","","","","NA"
"2016-08-01 16:00","2016","08","01","16:00","26.8","","15.3","","49","","","M","","M","","","100.42","","31","","","","NA"
"2016-08-01 17:00","2016","08","01","17:00","26.9","","15.6","","50","","","M","","M","","","100.39","","31","","","","NA"
"2016-08-01 18:00","2016","08","01","18:00","25.9","","16.4","","56","","","M","","M","","","100.37","","31","","","","NA"
"2016-08-01 19:00","2016","08","01","19:00","25.7","","15.0","","51","","","M","","M","","","100.39","","30","","","","NA"
"2016-08-01 20:00","2016","08","01","20:00","24.0","","14.1","","54","","","M","","M","","","100.41","","27","","","","NA"
"2016-08-01 21:00","2016","08","01","21:00","23.3","","14.3","","57","","","M","","M","","","100.49","","27","","","","NA"
"2016-08-01 22:00","2016","08","01","22:00","22.7","","14.3","","59","","","M","","M","","","100.53","","26","","","","NA"
"2016-08-01 23:00","2016","08","01","23:00","21.9","","14.5","","63","","","M","","M","","","100.57","","26","","","","NA"
"2016-08-02 00:00","2016","08","02","00:00","21.6","","14.5","","64","","","M","","M","","","100.58","","25","","","","NA"
"2016-08-02 01:00","2016","08","02","01:00","21.1","","14.5","","66","","","M","","M","","","100.54","","25","","","","NA"
"2016-08-02 02:00","2016","08","02","02:00","21.0","","16.4","","75","","","M","","M","","","100.54","","26","","","","NA"
"2016-08-02 03:00","2016","08","02","03:00","20.4","","16.2","","77","","","M","","M","","","100.52","","25","","","","NA"
"2016-08-02 04:00","2016","08","02","04:00","19.9","","16.1","","79","","","M","","M","","","100.54","","","","","","NA"
"2016-08-02 05:00","2016","08","02","05:00","19.4","","15.8","","80","","","M","","M","","","100.56","","","","","","NA"
"2016-08-02 06:00","2016","08","02","06:00","19.5","","16.0","","80","","","M","","M","","","100.56","","","","","","NA"
"2016-08-02 07:00","2016","08","02","07:00","21.9","","16.5","","71","","","M","","M","","","100.60","","27","","","","NA"
"2016-08-02 08:00","2016","08","02","08:00","23.2","","17.2","","69","","","M","","M","","","100.65","","29","","","","NA"
"2016-08-02 09:00","2016","08","02","09:00","24.1","","18.7","","72","","","M","","M","","","100.66","","31","","","","NA"
"2016-08-02 10:00","2016","08","02","10:00","25.2","","17.8","","64","","","M","","M","","","100.69","","31","","","","NA"
"2016-08-02 11:00","2016","08","02","11:00","26.4","","16.5","","54","","","M","","M","","","100.70","","31","","","","NA"
"2016-08-02 12:00","2016","08","02","12:00","27.0","","16.3","","52","","","M","","M","","","100.73","","32","","","","NA"
"2016-08-02 13:00","2016","08","02","13:00","27.7","","14.5","","44","","","M","","M","","","100.70","","31","","","","NA"
"2016-08-02 14:00","2016","08","02","14:00","27.2","","15.3","","48","","","M","","M","","","100.63","","31","","","","NA"
"2016-08-02 15:00","2016","08","02","15:00","27.1","","14.7","","47","","","M","","M","","","100.61","","31","","","","NA"
"2016-08-02 16:00","2016","08","02","16:00","27.5","","14.7","","46","","","M","","M","","","100.56","","31","","","","NA"
"2016-08-02 17:00","2016","08","02","17:00","27.3","","12.3","","39","","","M","","M","","","100.55","","30","","","","NA"
"2016-08-02 18:00","2016","08","02","18:00","26.6","","12.8","","42","","","M","","M","","","100.52","","29","","","","NA"
"2016-08-02 19:00","2016","08","02","19:00","25.2","","13.0","","47","","","M","","M","","","100.51","","28","","","","NA"
"2016-08-02 20:00","2016","08","02","20:00","24.2","","12.4","","48","","","M","","M","","","100.51","","27","","","","NA"
"2016-08-02 21:00","2016","08","02","21:00","23.1","","13.7","","55","","","M","","M","","","100.51","","26","","","","NA"
"2016-08-02 22:00","2016","08","02","22:00","23.6","","15.7","","61","","","M","","M","","","100.53","","28","","","","NA"
"2016-08-02 23:00","2016","08","02","23:00","22.6","","16.5","","69","","","M","","M","","","100.55","","28","","","","NA"
"2016-08-03 00:00","2016","08","03","00:00","22.4","","16.6","","70","","","M","","M","","","100.58","","27","","","","NA"
"2016-08-03 01:00","2016","08","03","01:00","22.5","","18.7","","80","","","M","","M","","","100.56","","29","","","","NA"
"2016-08-03 02:00","2016","08","03","02:00","21.3","","17.6","","80","","","M","","M","","","100.56","","27","","","","NA"
"2016-08-03 03:00","2016","08","03","03:00","20.5","","17.7","","84","","","M","","M","","","100.57","","26","","","","NA"
"2016-08-03 04:00","2016","08","03","04:00","20.0","","17.8","","87","","","M","","M","","","100.56","","26","","","","NA"
"2016-08-03 05:00","2016","08","03","05:00","20.0","","17.4","","85","","","M","","M","","","100.57","","26","","","","NA"
"2016-08-03 06:00","2016","08","03","06:00","19.9","","16.3","","80","","","M","","M","","","100.58","","","","","","NA"
"2016-08-03 07:00","2016","08","03","07:00","21.8","","16.6","","72","","","M","","M","","","100.60","","27","","","","NA"
"2016-08-03 08:00","2016","08","03","08:00","24.1","","16.0","","60","","","M","","M","","","100.63","","29","","","","NA"
"2016-08-03 09:00","2016","08","03","09:00","25.2","","17.4","","62","","","M","","M","","","100.63","","31","","","","NA"
"2016-08-03 10:00","2016","08","03","10:00","25.7","","17.1","","59","","","M","","M","","","100.64","","31","","","","NA"
"2016-08-03 11:00","2016","08","03","11:00","26.5","","16.3","","54","","","M","","M","","","100.63","","31","","","","NA"
"2016-08-03 12:00","2016","08","03","12:00","27.0","","18.0","","58","","","M","","M","","","100.59","","33","","","","NA"
"2016-08-03 13:00","2016","08","03","13:00","26.9","","17.5","","56","","","M","","M","","","100.56","","33","","","","NA"
"2016-08-03 14:00","2016","08","03","14:00","27.7","","17.0","","52","","","M","","M","","","100.52","","33","","","","NA"
"2016-08-03 15:00","2016","08","03","15:00","28.1","","13.6","","41","","","M","","M","","","100.46","","31","","","","NA"
"2016-08-03 16:00","2016","08","03","16:00","28.0","","13.6","","41","","","M","","M","","","100.42","","31","","","","NA"
"2016-08-03 17:00","2016","08","03","17:00","27.5","","13.5","","42","","","M","","M","","","100.42","","31","","","","NA"
"2016-08-03 18:00","2016","08","03","18:00","27.2","","14.8","","47","","","M","","M","","","100.40","","31","","","","NA"
"2016-08-03 19:00","2016","08","03","19:00","26.3","","13.6","","45","","","M","","M","","","100.39","","29","","","","NA"
"2016-08-03 20:00","2016","08","03","20:00","25.1","","17.5","","63","","","M","","M","","","100.40","","31","","","","NA"
"2016-08-03 21:00","2016","08","03","21:00","24.4","","18.9","","71","","","M","","M","","","100.42","","31","","","","NA"
"2016-08-03 22:00","2016","08","03","22:00","23.5","","20.6","","84","","","M","","M","","","100.39","","32","","","","NA"
"2016-08-03 23:00","2016","08","03","23:00","23.2","","20.5","","84","","","M","","M","","","100.40","","31","","","","NA"
"2016-08-04 00:00","2016","08","04","00:00","22.3","","18.8","","80","","","M","","M","","","100.42","","29","","","","NA"
"2016-08-04 01:00","2016","08","04","01:00","21.7","","19.1","","85","","","M","","M","","","100.41","","29","","","","NA"
"2016-08-04 02:00","2016","08","04","02:00","22.4","","19.0","","81","","","M","","M","","","100.38","","29","","","","NA"
"2016-08-04 03:00","2016","08","04","03:00","21.6","","18.8","","84","","","M","","M","","","100.40","","28","","","","NA"
"2016-08-04 04:00","2016","08","04","04:00","21.0","","18.7","","87","","","M","","M","","","100.40","","28","","","","NA"
"2016-08-04 05:00","2016","08","04","05:00","21.0","","18.7","","87","","","M","","M","","","100.39","","28","","","","NA"
"2016-08-04 06:00","2016","08","04","06:00","21.1","","18.6","","86","","","M","","M","","","100.40","","28","","","","NA"
"2016-08-04 07:00","2016","08","04","07:00","23.1","","19.8","","82","","","M","","M","","","100.44","","31","","","","NA"
"2016-08-04 08:00","2016","08","04","08:00","25.3","","20.7","","76","","","M","","M","","","100.45","","33","","","","NA"
"2016-08-04 09:00","2016","08","04","09:00","26.7","","20.8","","70","","","M","","M","","","100.45","","35","","","","NA"
"2016-08-04 10:00","2016","08","04","10:00","28.1","","21.0","","65","","","M","","M","","","100.47","","37","","","","NA"
"2016-08-04 11:00","2016","08","04","11:00","29.8","","16.7","","45","","","M","","M","","","100.46","","35","","","","NA"
"2016-08-04 12:00","2016","08","04","12:00","30.3","","14.1","","37","","","M","","M","","","100.43","","34","","","","NA"
"2016-08-04 13:00","2016","08","04","13:00","30.5","","12.8","","34","","","M","","M","","","100.39","","33","","","","NA"
"2016-08-04 14:00","2016","08","04","14:00","31.1","","13.2","","34","","","M","","M","","","100.31","","34","","","","NA"
"2016-08-04 15:00","2016","08","04","15:00","31.3","","12.5","","32","","","M","","M","","","100.23","","34","","","","NA"
"2016-08-04 16:00","2016","08","04","16:00","30.8","","13.2","","34","","","M","","M","","","100.21","","34","","","","NA"
"2016-08-04 17:00","2016","08","04","17:00","30.1","","13.6","","37","","","M","","M","","","100.19","","33","","","","NA"
"2016-08-04 18:00","2016","08","04","18:00","28.5","","14.0","","41","","","M","","M","","","100.13","","32","","","","NA"
"2016-08-04 19:00","2016","08","04","19:00","27.1","","17.4","","55","","","M","","M","","","100.07","","33","","","","NA"
